shop,city,name,brand,price_jumbo_prime,price_regular,price_now,discount
JUMBO,Medellin,VINO HEREFORD TINTO MALBEC BOTELLA X750ML,HAREFORD,0,0,45990,0
JUMBO,Medellin,VINO TINTO MICHELTORINO COLECCIONMALBEC BOT.X750ML,MICHEL TORINO,0,0,53990,0
JUMBO,Medellin,VINO SANTA CAROLINA RESERVA TT CABERNET SAUVIGNON X 750ML,SANTA CAROLINA,0,0,65990,0
JUMBO,Medellin,VINO SANTA RITA TRES MEDALLAS SAUVIG.BLA.BOTX750ML,SANTA RITA,0,0,42890,0
JUMBO,Medellin,VINO MAIPOCABERNET SAUVIGNON X 750 ML,VINA MAIPO,0,0,39990,0
JUMBO,Medellin,VINO MARQUES DE RISCAL TINTOX750ML,MARQUESDERISCAL,0,0,67390,0
JUMBO,Medellin,VINO TINTO LAS MORAS BONARDA X 750 ML,LAS MORAS,0,0,50290,0
JUMBO,Medellin,VINO 6EME TINTO SENS BOTELLA X 750 ML,6EME,0,0,40790,0
JUMBO,Medellin,VINO MARQUES DE RISCAL ROSADO X 750 ML,MARQUES,0,0,67390,0
JUMBO,Medellin,VINOSANTA CAROLINATINTO RESERV.CABERNET SAUVX750ML,SANTA CAROLINA,0,0,42890,0
JUMBO,Medellin,VINO PATA NEGRA RESERVA X 750ML,PATA NEGRA,0,0,47990,0
JUMBO,Medellin,VINO TINTO MAIPO CABERNET-CARMENERE X 750 ML,VINA MAIPO,0,0,39990,0
JUMBO,Medellin,VINO 6EME ROSADO SENS BOTELLA X 750 ML,6EME,0,0,40790,0
JUMBO,Medellin,VINO TINTO MARQUES DE RISCAL RESERVA BOT.X750 ML,MARQUES,0,0,157990,0
JUMBO,Medellin,VINO RAMON BILBAO RESERVA RIOJA 2014 BOTELLA X 750ML,RAMON BILBAO,0,0,121990,0
JUMBO,Medellin,VINO MAIPO BLANCO X 750ML,MAIPO,0,0,39990,0
JUMBO,Medellin,VINO TINTO SANTA RITA SECRET RESERVE MERLOT X750ML,SANTA RITA,0,0,89990,0
JUMBO,Medellin,BRANDY DOMECQ PEDRO DOMECQ X750ML,DOMECQ,0,0,53990,0
JUMBO,Medellin,VINO GATO NEGRO 9LIVES ENSAMBLAJE BOT.X750ML,GATO NEGRO,0,0,63990,0
JUMBO,Medellin,VINO BLANCO SANTA CAROLINA CHARDONNAY X750 ML,SANTA CAROLINA,0,0,42890,0
JUMBO,Medellin,VINO HEREFORD TINTO CABERNET SAUVIGNON BOTELLA X 750ML,HAREFORD,0,0,45990,0
JUMBO,Medellin,BRANDY DOMECQ FCO X 375CM3,DOMECQ,0,0,27990,0
JUMBO,Medellin,VINO BLANCO GATO NEGRO SAUVIGNON BLANC X375ML,GATO NEGRO,0,0,24990,0
JUMBO,Medellin,VINO 6EME BLANCO SENS BOTELLA X 750 ML,6EME,0,0,41990,0
JUMBO,Medellin,VINO SANTA HELENA TNT.X750 ML,SANTA HELENA,0,0,42890,0
JUMBO,Medellin,VINO DI PUGLIA PASQUA SANGIOVESE BOTELLA. X 750 ML,PASQUA,0,0,45990,0
JUMBO,Medellin,VINO TINTO CATENA MALBEC ALTAMIRA X750ML,CATENA,0,0,119990,0
JUMBO,Medellin,VINO TINTO BARTON & GUESTIER MERLOT BOTELLA X 750 ML,BARTON,0,0,57190,0
JUMBO,Medellin,VINO TINTO BERONIA RIOJA RESERVA BOT.X750ML,BERONIA CRIANZA,0,0,143990,0
JUMBO,Medellin,VINO VOLCANES RESERVA CABERNET SAUVIGNON BOTX750ML,VOLCANES,0,0,101990,0
JUMBO,Medellin,VINO SIBARIS RESERVA CARMENERE X 750 ML,SIBARIS,0,0,101990,0
JUMBO,Medellin,VINO TINTO MUGA BOTELLA RESERVA RIOJA X 750ML,BUFALO,0,0,157990,0
JUMBO,Medellin,VINO TARAPACA RESERVA CABERNET SAUVIGNON BOTX750ML,TARAPACA,0,0,63990,0
JUMBO,Medellin,VINO PASQUA MONTEPULCIANO BOT X 750 ML,PASQUA,0,0,47990,0
JUMBO,Medellin,VINO TINTO MAIPO MERLOT X 750 ML,VINA MAIPO,0,0,39990,0
JUMBO,Medellin,VINO HEREFORD BLANCO CHARDONNAY BOTELLA X750ML,HAREFORD,0,0,45990,0
JUMBO,Medellin,VINO CASILLERO DEL DIABLO RESERPRIVCARMENEREX750ML,CASILLERO DEL DIABLO,0,0,103990,0
